epoch,loss,val_loss
0,0.6112486124038696,0.5431270599365234
1,0.5153875350952148,0.5494087934494019
2,0.4697778820991516,0.5700504183769226
3,0.4301784634590149,0.581467866897583
4,0.39522841572761536,0.6209713816642761
5,0.36151379346847534,0.5460392236709595
6,0.33876997232437134,0.5899357199668884
7,0.3188798129558563,0.6370855569839478
8,0.3008553087711334,0.6276739239692688
9,0.2837527394294739,0.5786476731300354
10,0.2663813531398773,0.6290090680122375
11,0.2575708031654358,0.6016261577606201
12,0.25553059577941895,0.5947941541671753
13,0.24697555601596832,0.5942606925964355
14,0.2410726696252823,0.5976910591125488
15,0.23635154962539673,0.6114187240600586
16,0.2296667844057083,0.5874775648117065
17,0.22153091430664062,0.6074406504631042
18,0.21005487442016602,0.6257877349853516
19,0.2159632444381714,0.5919702649116516
